ReleaseYear,NumApps
"August 3, 2018",128
"August 1, 2018",112
"August 2, 2018",103
"July 31, 2018",94
"July 30, 2018",81
"July 25, 2018",75
"July 26, 2018",70
"July 27, 2018",66
"July 24, 2018",62
"July 23, 2018",61
"July 18, 2018",58
"July 17, 2018",55
"July 11, 2018",53
"July 19, 2018",51
"July 12, 2018",51
"July 3, 2018",50
"July 16, 2018",49
"August 6, 2018",46
"July 20, 2018",46
"August 4, 2018",42
"July 9, 2018",41
"July 13, 2018",41
"May 24, 2018",40
"July 5, 2018",38
"June 26, 2018",34
"May 25, 2018",33
"July 6, 2018",33
"June 27, 2018",29
"June 19, 2018",28
"July 2, 2018",27
"June 13, 2018",27
"June 29, 2018",27
"July 28, 2018",27
"June 25, 2018",27
"June 6, 2018",27
"June 12, 2018",27
"July 4, 2018",26
"June 20, 2018",25
"May 23, 2018",25
"August 5, 2018",25
"May 30, 2018",24
"August 7, 2018",24
"July 10, 2018",23
"June 28, 2018",23
"June 15, 2018",22
"May 22, 2018",22
"February 5, 2017",22
"June 21, 2018",21
"June 5, 2018",21
"May 31, 2018",21
"July 29, 2018",21
"June 1, 2018",21
"June 14, 2018",20
"June 8, 2018",20
"June 18, 2018",19
"May 21, 2018",19
"May 4, 2018",19
"July 1, 2018",18
"May 28, 2018",17
"May 18, 2018",16
"May 29, 2018",16
"April 26, 2018",16
"March 16, 2018",15
"June 7, 2018",15
"June 22, 2018",15
"May 15, 2018",14
"March 20, 2018",14
"April 3, 2018",14
"July 8, 2018",14
"March 6, 2018",14
"June 11, 2018",14
"May 9, 2018",13
"March 28, 2018",13
"May 17, 2018",13
"June 4, 2018",13
"May 10, 2018",13
"July 15, 2018",13
"July 7, 2018",12
"February 7, 2018",12
"January 2, 2018",12
"July 22, 2018",12
"July 21, 2018",12
"April 23, 2018",11
"April 20, 2018",11
"June 9, 2018",11
"March 23, 2018",11
"April 5, 2018",11
"March 26, 2018",11
"April 17, 2018",11
"December 8, 2017",11
"March 9, 2018",11
"April 4, 2018",11
"October 12, 2017",11
"September 21, 2017",11
"March 13, 2018",11
"March 5, 2018",11
"April 18, 2018",10
"December 18, 2017",10
"June 30, 2018",10
"November 29, 2017",10
"May 2, 2018",10
"March 29, 2018",10
"May 3, 2018",10
"January 29, 2018",10
"March 30, 2018",10
"March 31, 2018",10
"January 5, 2018",10
"February 16, 2018",10
"April 10, 2018",10
"May 14, 2018",10
"March 14, 2018",10
"April 16, 2018",10
"March 21, 2018",10
"February 15, 2018",10
"October 10, 2017",9
"December 20, 2017",9
"March 14, 2017",9
"May 1, 2018",9
"May 12, 2018",9
"September 20, 2017",9
"January 20, 2018",9
"January 31, 2018",9
"May 19, 2018",9
"May 26, 2018",9
"January 9, 2018",9
"May 8, 2018",9
"February 21, 2018",9
"April 13, 2018",9
"March 15, 2017",9
"March 27, 2018",9
"May 16, 2018",8
"November 21, 2017",8
"April 11, 2018",8
"February 9, 2018",8
"February 26, 2018",8
"May 9, 2017",8
"May 6, 2018",8
"January 3, 2018",8
"March 8, 2018",8
"December 25, 2017",8
"January 17, 2018",8
"February 20, 2018",8
"October 9, 2017",8
"February 28, 2018",8
"March 12, 2018",8
"April 9, 2018",8
"January 25, 2018",8
"June 7, 2017",8
"March 19, 2018",8
"February 23, 2018",8
"November 30, 2016",8
"October 31, 2017",8
"February 1, 2018",8
"January 22, 2018",8
"April 22, 2018",7
"October 6, 2017",7
"March 15, 2018",7
"October 27, 2017",7
"February 14, 2018",7
"April 6, 2018",7
"December 21, 2017",7
"February 13, 2018",7
"June 16, 2018",7
"June 10, 2018",7
"April 12, 2017",7
"November 7, 2017",7
"December 7, 2017",7
"May 27, 2018",7
"December 14, 2017",7
"June 24, 2018",7
"April 27, 2018",7
"April 2, 2018",7
"October 26, 2017",7
"February 27, 2018",7
"June 8, 2016",7
"March 17, 2018",7
"November 2, 2017",7
"November 22, 2017",7
"January 14, 2018",7
"January 19, 2018",7
"December 13, 2017",7
"August 21, 2017",6
"February 2, 2017",6
"May 11, 2018",6
"November 6, 2017",6
"February 17, 2017",6
"April 12, 2018",6
"February 6, 2018",6
"May 20, 2018",6
"December 19, 2017",6
"June 2, 2018",6
"July 13, 2017",6
"December 24, 2017",6
"October 18, 2017",6
"June 1, 2017",6
"September 22, 2017",6
"October 19, 2017",6
"October 30, 2015",6
"March 22, 2018",6
"September 12, 2017",6
"September 20, 2016",6
"April 25, 2018",6
"August 2, 2017",6
"November 10, 2017",6
"December 25, 2016",6
"April 19, 2018",6
"January 26, 2018",6
"March 1, 2018",6
"December 5, 2017",6
"May 15, 2017",6
"July 10, 2017",6
"November 1, 2017",6
"December 11, 2017",6
"February 21, 2017",5
"April 30, 2018",5
"September 27, 2017",5
"March 2, 2018",5
"November 15, 2017",5
"August 17, 2017",5
"January 24, 2018",5
"November 17, 2017",5
"November 28, 2017",5
"November 27, 2017",5
"September 14, 2017",5
"January 30, 2018",5
"September 8, 2017",5
"June 16, 2017",5
"January 6, 2018",5
"August 30, 2017",5
"January 12, 2018",5
"April 1, 2018",5
"December 3, 2017",5
"October 7, 2016",5
"September 19, 2017",5
"August 29, 2017",5
"June 3, 2018",5
"December 22, 2017",5
"July 8, 2016",5
"August 22, 2017",5
"February 22, 2017",5
"July 7, 2017",5
"October 2, 2017",5
"February 25, 2018",5
"July 17, 2017",5
"November 14, 2017",5
"August 9, 2016",5
"November 3, 2017",5
"October 17, 2017",5
"February 24, 2018",5
"January 16, 2018",5
"June 30, 2016",5
"January 8, 2018",5
"May 13, 2018",5
"January 4, 2018",5
"July 14, 2018",5
"February 1, 2017",5
"September 26, 2017",5
"May 11, 2017",5
"June 29, 2016",5
"February 9, 2017",5
"November 24, 2017",5
"February 17, 2018",5
"May 30, 2017",5
"December 4, 2017",5
"April 6, 2017",5
"June 2, 2017",5
"October 25, 2017",5
"August 31, 2017",5
"April 15, 2018",4
"April 29, 2018",4
"March 23, 2017",4
"December 16, 2015",4
"March 8, 2017",4
"April 24, 2018",4
"February 28, 2017",4
"October 7, 2017",4
"October 17, 2014",4
"December 23, 2016",4
"January 15, 2018",4
"December 27, 2017",4
"October 23, 2017",4
"May 31, 2017",4
"July 23, 2017",4
"August 8, 2018",4
"January 25, 2016",4
"March 11, 2017",4
"August 4, 2017",4
"June 21, 2016",4
"March 10, 2018",4
"July 3, 2017",4
"May 27, 2016",4
"January 18, 2018",4
"January 23, 2017",4
"October 19, 2016",4
"January 9, 2017",4
"October 26, 2016",4
"July 29, 2017",4
"July 25, 2017",4
"June 17, 2018",4
"August 28, 2017",4
"July 5, 2017",4
"February 3, 2017",4
"April 5, 2017",4
"June 18, 2015",4
"September 5, 2017",4
"April 11, 2017",4
"February 4, 2018",4
"March 28, 2017",4
"January 27, 2017",4
"June 18, 2017",4
"October 18, 2016",4
"April 28, 2018",4
"August 18, 2016",4
"June 13, 2016",4
"February 12, 2018",4
"April 26, 2017",4
"March 6, 2017",4
"June 26, 2017",4
"July 22, 2017",4
"April 4, 2017",4
"November 21, 2016",4
"March 14, 2015",4
"August 4, 2016",4
"June 25, 2017",4
"September 6, 2016",4
"September 16, 2016",4
"October 30, 2017",4
"April 25, 2017",4
"May 8, 2017",4
"September 18, 2017",4
"July 22, 2016",4
"March 3, 2017",4
